year,sector,fuel,energy_PJ,state
2003,Chemical,Gas,83.392,Australia
2003,Chemical,Oil,52.737,Australia
2003,Chemical,Electricity,15.76,Australia
2003,Chemical,Renewables,0.451,Australia
2003,Iron and steel,Coal,35.413,Australia
2003,Iron and steel,Gas,19.261,Australia
2003,Iron and steel,Oil,0.772,Australia
2003,Iron and steel,Electricity,11.747,Australia
2003,Iron and steel,Renewables,,Australia
2003,Non-ferrous metals,Coal,51.725,Australia
2003,Non-ferrous metals,Gas,126.026,Australia
2003,Non-ferrous metals,Oil,56.43,Australia
2003,Non-ferrous metals,Electricity,128.436,Australia
2003,Non-ferrous metals,Renewables,2.305,Australia
2003,Other industry,Coal,31.999,Australia
2003,Other industry,Gas,66.972,Australia
2003,Other industry,Oil,10.05,Australia
2003,Other industry,Electricity,34.392,Australia
2003,Other industry,Renewables,2.562,Australia
2003,Total Manufacturing,Coal,146.977,Australia
2003,Total Manufacturing,Gas,350.555,Australia
2003,Total Manufacturing,Oil,123.912,Australia
2003,Total Manufacturing,Electricity,229.243,Australia
2003,Total Manufacturing,Renewables,64.159,Australia
2003,Water and waste b,Coal,0,Australia
2003,Water and waste b,Gas,0.569,Australia
2003,Water and waste b,Oil,0.519,Australia
2003,Water and waste b,Electricity,9.063,Australia
2003,Water and waste b,Renewables,0.23,Australia
2003,Construction,Coal,,Australia
2003,Construction,Gas,2.555,Australia
2003,Construction,Oil,24.534,Australia
2003,Construction,Electricity,0.299,Australia
2003,Construction,Renewables,0,Australia
2003,Road transport,Coal,,Australia
2003,Road transport,Gas,1.192,Australia
2003,Road transport,Oil,1022.261,Australia
2003,Road transport,Electricity,0,Australia
2003,Road transport,Renewables,0,Australia
2003,Rail transport,Coal,0,Australia
2003,Rail transport,Gas,0.02,Australia
2003,Rail transport,Oil,25.964,Australia
2003,Rail transport,Electricity,8.586,Australia
2003,Rail transport,Renewables,0,Australia
2003,Air transport c,Coal,,Australia
2003,Air transport c,Gas,,Australia
2003,Air transport c,Oil,179.898,Australia
2003,Air transport c,Electricity,,Australia
2003,Air transport c,Renewables,,Australia
2003,Water transport d,Coal,5.8,Australia
2003,Water transport d,Gas,0.06,Australia
2003,Water transport d,Oil,60.639,Australia
2003,Water transport d,Electricity,,Australia
2003,Water transport d,Renewables,,Australia
2003,Other transport,Coal,0,Australia
2003,Other transport,Gas,0.571,Australia
2003,Other transport,Oil,4.766,Australia
2003,Other transport,Electricity,4.186,Australia
2003,Other transport,Renewables,0,Australia
2003,Total Transport,Coal,5.8,Australia
2003,Total Transport,Gas,1.843,Australia
2003,Total Transport,Oil,1293.527,Australia
2003,Total Transport,Electricity,12.772,Australia
2003,Total Transport,Renewables,0,Australia
2003,Commercial and services,Coal,2.967,Australia
2003,Commercial and services,Gas,43.77,Australia
2003,Commercial and services,Oil,21.292,Australia
2003,Commercial and services,Electricity,187.287,Australia
2003,Commercial and services,Renewables,0.584,Australia
2003,Residential,Coal,0.911,Australia
2003,Residential,Gas,125.343,Australia
2003,Residential,Oil,14.226,Australia
2003,Residential,Electricity,201.517,Australia
2003,Residential,Renewables,73.034,Australia
2003,"Lubricants, bitumen, solvents",Coal,,Australia
2003,"Lubricants, bitumen, solvents",Gas,,Australia
2003,"Lubricants, bitumen, solvents",Oil,62.9,Australia
2003,"Lubricants, bitumen, solvents",Electricity,,Australia
2003,"Lubricants, bitumen, solvents",Renewables,,Australia
2003,Total final consumption,Coal,157.089,Australia
2003,Total final consumption,Gas,590.279,Australia
2003,Total final consumption,Oil,1732.631,Australia
2003,Total final consumption,Electricity,700.798,Australia
2003,Total final consumption,Renewables,138.149,Australia
2004,Agriculture,Coal,,Australia
2004,Agriculture,Gas,0.099,Australia
2004,Agriculture,Oil,92.685,Australia
2004,Agriculture,Electricity,8.668,Australia
2004,Agriculture,Renewables,,Australia
2004,Mining,Coal,0.44,Australia
2004,Mining,Gas,59.774,Australia
2004,Mining,Oil,117.642,Australia
2004,Mining,Electricity,51.345,Australia
2004,Mining,Renewables,0.16,Australia
2004,"Food, beverage, textiles",Coal,19.177,Australia
2004,"Food, beverage, textiles",Gas,36.592,Australia
2004,"Food, beverage, textiles",Oil,3.879,Australia
2004,"Food, beverage, textiles",Electricity,22.19,Australia
