year,population [number],gdp [$ million],energy_consumption [pj],energy_consumption_per_capita [gj/person],energy_intensity [gj/$ million],energy_productivity [$ million/pj],state
2006,213748,21750,82.787,387.313,3806.317,262.721,Northern Territory
2007,219874,21977,95.995,436.589,4367.955,228.94,Northern Territory
2008,226027,23843,95.044,420.5,3986.261,250.862,Northern Territory
2009,229778,23732,94.174,409.847,3968.219,252.002,Northern Territory
2010,231292,24414,99.786,431.428,4087.235,244.664,Northern Territory
2011,235915,25391,98.194,416.225,3867.263,258.581,Northern Territory
2012,241722,27120,100.156,414.344,3693.068,270.778,Northern Territory
2013,242894,27450,99.141,408.168,3611.711,276.877,Northern Territory
2014,244692,27816,83.987,343.237,3019.386,331.193,Northern Territory
2015,245678,28367,83.919,341.581,2958.332,338.028,Northern Territory
2016,247412,28782,83.32,336.764,2894.85,345.441,Northern Territory
2017,247095,29356,90.161,364.884,3071.302,325.595,Northern Territory
2018,246559,29020,133.022,539.514,4583.809,218.159,Northern Territory
2019,247428,30758,146.499,592.089,4762.969,209.953,Northern Territory
2020,248151,30253,145.341,585.695,4804.18,208.152,Northern Territory
2021,250228,31792,149.773,598.545,4711.02,212.268,Northern Territory
2022,252955,30123,129.592,512.312,4302.094,232.445,Northern Territory
